codigo,prov,dpto,frac,rad,varon,mujer,total
140070101,14,7,1,1,40,28,68
140070102,14,7,1,2,261,233,494
140070103,14,7,1,3,123,96,219
140070104,14,7,1,4,45,32,77
140070105,14,7,1,5,137,131,268
140070106,14,7,1,6,51,32,83
140070107,14,7,1,7,76,59,135
140070108,14,7,1,8,202,155,357
140070110,14,7,1,10,238,209,447
140070111,14,7,1,11,346,302,648
140070112,14,7,1,12,264,242,506
140070113,14,7,1,13,275,274,549
140070201,14,7,2,1,158,147,305
140070202,14,7,2,2,60,49,109
140070203,14,7,2,3,117,122,239
140070204,14,7,2,4,257,227,484
140070205,14,7,2,5,246,237,483
140070206,14,7,2,6,492,539,1031
140070207,14,7,2,7,382,425,807
140070208,14,7,2,8,474,506,980
140070209,14,7,2,9,318,358,676
140070210,14,7,2,10,179,232,411
140070211,14,7,2,11,465,449,914
140070212,14,7,2,12,230,261,491
140070213,14,7,2,13,225,236,461
140070214,14,7,2,14,330,325,655
140070215,14,7,2,15,282,301,583
140070216,14,7,2,16,160,143,303
140070301,14,7,3,1,31,20,51
140070302,14,7,3,2,27,29,56
140070303,14,7,3,3,13,7,20
140070304,14,7,3,4,29,34,63
140070305,14,7,3,5,164,137,301
140070306,14,7,3,6,48,46,94
140070307,14,7,3,7,58,32,90
140070308,14,7,3,8,132,128,260
140070309,14,7,3,9,461,465,926
140070310,14,7,3,10,301,334,635
140070311,14,7,3,11,428,455,883
140070312,14,7,3,12,418,455,873
140070401,14,7,4,1,26,28,54
140070402,14,7,4,2,44,21,65
140070403,14,7,4,3,56,37,93
140070404,14,7,4,4,5,2,7
140070405,14,7,4,5,82,75,157
140070406,14,7,4,6,106,113,219
140070407,14,7,4,7,128,113,241
140070408,14,7,4,8,39,31,70
140070409,14,7,4,9,16,8,24
140070410,14,7,4,10,20,8,28
140070411,14,7,4,11,33,24,57
140070412,14,7,4,12,59,47,106
140070413,14,7,4,13,89,68,157
140070414,14,7,4,14,576,521,1097
140070415,14,7,4,15,97,86,183
140070416,14,7,4,16,202,224,426
140070501,14,7,5,1,331,334,665
140070502,14,7,5,2,178,178,356
140070503,14,7,5,3,244,253,497
140070504,14,7,5,4,267,255,522
140070505,14,7,5,5,241,256,497
140070506,14,7,5,6,434,451,885
140070507,14,7,5,7,334,324,658
140070508,14,7,5,8,307,285,592
140070509,14,7,5,9,335,367,702
140070510,14,7,5,10,454,479,933
140070511,14,7,5,11,379,459,838
140070512,14,7,5,12,402,428,830
140070513,14,7,5,13,365,395,760
140070514,14,7,5,14,283,304,587
140070515,14,7,5,15,328,330,658
140070516,14,7,5,16,200,193,393
140070517,14,7,5,17,525,516,1041
140070518,14,7,5,18,518,463,981
140070601,14,7,6,1,17,15,32
140070602,14,7,6,2,121,128,249
140070603,14,7,6,3,74,63,137
140070604,14,7,6,4,28,31,59
140070605,14,7,6,5,87,85,172
140070606,14,7,6,6,80,94,174
140070607,14,7,6,7,378,391,769
140070608,14,7,6,8,339,348,687
140070609,14,7,6,9,235,261,496
140070610,14,7,6,10,234,225,459
140070611,14,7,6,11,325,376,701
140070612,14,7,6,12,250,241,491
140070613,14,7,6,13,191,211,402
140070614,14,7,6,14,411,393,804
140070615,14,7,6,15,224,193,417
140070616,14,7,6,16,158,169,327
140070701,14,7,7,1,49,33,82
140070702,14,7,7,2,37,31,68
140070703,14,7,7,3,20,12,32
140070704,14,7,7,4,9,8,17
140070705,14,7,7,5,42,42,84
140070706,14,7,7,6,430,443,873
140070707,14,7,7,7,32,18,50
140070708,14,7,7,8,27,18,45
140070709,14,7,7,9,16,10,26
140070710,14,7,7,10,23,10,33
140070711,14,7,7,11,25,14,39
140070712,14,7,7,12,25,21,46
140070713,14,7,7,13,57,36,93
140070714,14,7,7,14,12,4,16
140070715,14,7,7,15,126,102,228
140070716,14,7,7,16,17,17,34
140070717,14,7,7,17,15,10,25
140070718,14,7,7,18,37,24,61
140070719,14,7,7,19,223,267,490
140070720,14,7,7,20,26,28,54
140070801,14,7,8,1,17,14,31
140070802,14,7,8,2,97,89,186
140070803,14,7,8,3,411,453,864
140070804,14,7,8,4,94,106,200
140070805,14,7,8,5,543,579,1122
140070806,14,7,8,6,281,290,571
140070807,14,7,8,7,413,453,866
140070808,14,7,8,8,368,423,791
140070809,14,7,8,9,977,1002,1979
140070810,14,7,8,10,61,42,103
140070811,14,7,8,11,23,18,41
140070812,14,7,8,12,18,18,36
140070813,14,7,8,13,24,20,44
140070814,14,7,8,14,541,521,1062
140070815,14,7,8,15,467,524,991
140070816,14,7,8,16,369,390,759
140070817,14,7,8,17,499,512,1011
140070818,14,7,8,18,398,428,826
140070819,14,7,8,19,59,59,118
140070820,14,7,8,20,316,314,630
140070901,14,7,9,1,44,7,51
140070902,14,7,9,2,38,30,68
140070903,14,7,9,3,28,19,47
140070904,14,7,9,4,347,352,699
140070905,14,7,9,5,26,12,38
140070906,14,7,9,6,39,31,70
140070907,14,7,9,7,26,12,38
140070908,14,7,9,8,160,142,302
140140101,14,14,1,1,306,276,582
140140102,14,14,1,2,639,599,1238
140140103,14,14,1,3,641,642,1283
140140104,14,14,1,4,403,408,811
140140105,14,14,1,5,458,487,945
140140106,14,14,1,6,565,614,1179
140140107,14,14,1,7,362,397,759
140140108,14,14,1,8,379,393,772
140140109,14,14,1,9,725,744,1469
140140110,14,14,1,10,421,454,875
140140111,14,14,1,11,302,377,679
140140112,14,14,1,12,434,516,950
140140113,14,14,1,13,592,606,1198
140140201,14,14,2,1,499,475,974
140140202,14,14,2,2,670,684,1354
140140203,14,14,2,3,527,571,1098
140140204,14,14,2,4,459,503,962
140140205,14,14,2,5,321,402,723
140140206,14,14,2,6,287,277,564
140140207,14,14,2,7,504,577,1081
140140208,14,14,2,8,394,440,834
140140209,14,14,2,9,364,418,782
140140210,14,14,2,10,378,433,811
140140211,14,14,2,11,321,337,658
140140212,14,14,2,12,413,416,829
140140213,14,14,2,13,527,598,1125
140140214,14,14,2,14,552,624,1176
140140215,14,14,2,15,568,654,1222
140140301,14,14,3,1,227,253,480
140140302,14,14,3,2,1038,1094,2132
140140303,14,14,3,3,749,771,1520
140140304,14,14,3,4,732,718,1450
140140305,14,14,3,5,560,569,1129
140140306,14,14,3,6,440,440,880
140140307,14,14,3,7,362,389,751
140140308,14,14,3,8,603,647,1250
140140309,14,14,3,9,719,782,1501
140140310,14,14,3,10,423,483,906
140140311,14,14,3,11,374,425,799
140140312,14,14,3,12,558,655,1213
140140313,14,14,3,13,704,713,1417
140140401,14,14,4,1,807,795,1602
140140402,14,14,4,2,665,637,1302
140140403,14,14,4,3,190,186,376
140140404,14,14,4,4,516,513,1029
140140405,14,14,4,5,951,993,1944
140140406,14,14,4,6,865,871,1736
140140407,14,14,4,7,483,499,982
140140408,14,14,4,8,749,805,1554
140140409,14,14,4,9,516,556,1072
140140410,14,14,4,10,723,774,1497
140140411,14,14,4,11,793,774,1567
140140501,14,14,5,1,449,450,899
140140502,14,14,5,2,722,777,1499
140140503,14,14,5,3,522,550,1072
140140504,14,14,5,4,835,819,1654
140140505,14,14,5,5,818,893,1711
140140506,14,14,5,6,412,434,846
140140507,14,14,5,7,618,605,1223
140140508,14,14,5,8,718,711,1429
140140509,14,14,5,9,451,474,925
140140510,14,14,5,10,689,750,1439
140140511,14,14,5,11,576,606,1182
140140512,14,14,5,12,583,628,1211
140140513,14,14,5,13,670,746,1416
140140514,14,14,5,14,758,779,1537
140140515,14,14,5,15,699,725,1424
140140601,14,14,6,1,411,399,810
140140602,14,14,6,2,81,93,174
140140603,14,14,6,3,119,120,239
140140604,14,14,6,4,449,408,857
140140605,14,14,6,5,493,440,933
140140606,14,14,6,6,450,457,907
140140607,14,14,6,7,824,874,1698
140140608,14,14,6,8,321,303,624
140140609,14,14,6,9,615,615,1230
140140610,14,14,6,10,530,558,1088
140140701,14,14,7,1,651,638,1289
140140702,14,14,7,2,415,428,843
140140703,14,14,7,3,318,331,649
140140704,14,14,7,4,549,535,1084
140140705,14,14,7,5,603,614,1217
140140706,14,14,7,6,18,11,29
140140707,14,14,7,7,458,437,895
140140708,14,14,7,8,652,674,1326
140140709,14,14,7,9,782,742,1524
140140710,14,14,7,10,105,103,208
140140711,14,14,7,11,415,426,841
140140712,14,14,7,12,274,230,504
140140713,14,14,7,13,589,554,1143
140140714,14,14,7,14,678,710,1388
