codigo,prov,dpto,frac,rad,1,2,3,total
140070101,14,7,1,1,8,6,3,17
140070102,14,7,1,2,31,33,57,121
140070103,14,7,1,3,43,24,12,79
140070104,14,7,1,4,8,12,3,23
140070105,14,7,1,5,33,19,18,70
140070106,14,7,1,6,17,3,11,31
140070107,14,7,1,7,6,3,1,10
140070108,14,7,1,8,45,54,12,111
140070110,14,7,1,10,68,42,23,133
140070111,14,7,1,11,96,69,14,179
140070112,14,7,1,12,73,54,39,166
140070113,14,7,1,13,93,41,28,162
140070201,14,7,2,1,44,31,15,90
140070202,14,7,2,2,17,6,8,31
140070203,14,7,2,3,17,10,4,31
140070204,14,7,2,4,56,37,46,139
140070205,14,7,2,5,130,19,5,154
140070206,14,7,2,6,226,44,42,312
140070207,14,7,2,7,207,46,11,264
140070208,14,7,2,8,190,59,15,264
140070209,14,7,2,9,155,36,5,196
140070210,14,7,2,10,131,22,0,153
140070211,14,7,2,11,187,68,26,281
140070212,14,7,2,12,159,22,1,182
140070213,14,7,2,13,144,29,1,174
140070214,14,7,2,14,164,30,1,195
140070215,14,7,2,15,131,36,7,174
140070216,14,7,2,16,58,11,8,77
140070301,14,7,3,1,4,5,7,16
140070302,14,7,3,2,7,4,6,17
140070303,14,7,3,3,0,2,3,5
140070304,14,7,3,4,2,11,4,17
140070305,14,7,3,5,17,17,50,84
140070306,14,7,3,6,10,11,7,28
140070307,14,7,3,7,19,8,5,32
140070308,14,7,3,8,34,36,3,73
140070309,14,7,3,9,82,160,24,266
140070310,14,7,3,10,112,76,11,199
140070311,14,7,3,11,90,124,26,240
140070312,14,7,3,12,109,111,27,247
140070401,14,7,4,1,8,5,2,15
140070402,14,7,4,2,3,2,2,7
140070403,14,7,4,3,17,3,4,24
140070404,14,7,4,4,0,2,0,2
140070405,14,7,4,5,18,12,17,47
140070406,14,7,4,6,35,22,7,64
140070407,14,7,4,7,45,17,15,77
140070408,14,7,4,8,9,5,6,20
140070409,14,7,4,9,1,0,12,13
140070410,14,7,4,10,6,2,1,9
140070411,14,7,4,11,7,4,8,19
140070412,14,7,4,12,6,3,23,32
140070413,14,7,4,13,15,4,4,23
140070414,14,7,4,14,82,36,105,223
140070415,14,7,4,15,32,14,10,56
140070416,14,7,4,16,73,45,11,129
140070501,14,7,5,1,104,75,26,205
140070502,14,7,5,2,64,45,4,113
140070503,14,7,5,3,89,66,11,166
140070504,14,7,5,4,97,51,2,150
140070505,14,7,5,5,107,70,3,180
